0.1060000000E+01  0.7575689859E+00  0.9821385281E+02  0.9147047498E+02
0.1050000000E+01  0.7896242680E+00  0.8005807158E+02  0.7743998776E+02
0.1040000000E+01  0.8102058402E+00  0.7097027833E+02  0.7017348664E+02
0.1030000000E+01  0.8260580592E+00  0.6505364626E+02  0.6533403527E+02
0.1020000000E+01  0.8391674680E+00  0.6077003183E+02  0.6176800651E+02
0.1010000000E+01  0.8504399547E+00  0.5747910188E+02  0.5898814028E+02
0.1000000000E+01  0.8603768679E+00  0.5485263927E+02  0.5674164650E+02
0.9900000000E+00  0.8692891873E+00  0.5270032769E+02  0.5488039453E+02
0.9800000000E+00  0.8773850637E+00  0.5090228458E+02  0.5331019500E+02
0.9700000000E+00  0.8848116544E+00  0.4937833824E+02  0.5196752115E+02
0.9600000000E+00  0.8916773852E+00  0.4807238395E+02  0.5080757008E+02
0.9500000000E+00  0.8980647731E+00  0.4694373375E+02  0.4979761743E+02
0.9400000000E+00  0.9040382764E+00  0.4596201920E+02  0.4891307727E+02
0.9300000000E+00  0.9096493388E+00  0.4510403136E+02  0.4813504526E+02
0.9200000000E+00  0.9149397620E+00  0.4435167873E+02  0.4744870226E+02
0.9100000000E+00  0.9199440365E+00  0.4369062109E+02  0.4684224084E+02
0.9000000000E+00  0.9246909968E+00  0.4310932839E+02  0.4630612213E+02
0.8900000000E+00  0.9292050267E+00  0.4259841584E+02  0.4583254823E+02
0.8800000000E+00  0.9335069543E+00  0.4215016384E+02  0.4541507971E+02
0.8700000000E+00  0.9376147298E+00  0.4175816455E+02  0.4504835273E+02
0.8600000000E+00  0.9415439458E+00  0.4141705737E+02  0.4472786648E+02
0.8500000000E+00  0.9453082436E+00  0.4112232797E+02  0.4444982108E+02
0.8400000000E+00  0.9489196346E+00  0.4087015341E+02  0.4421099224E+02
0.8300000000E+00  0.9523887557E+00  0.4065728158E+02  0.4400863324E+02
0.8200000000E+00  0.9557250773E+00  0.4048093609E+02  0.4384039752E+02
0.8100000000E+00  0.9589370717E+00  0.4033874075E+02  0.4370427694E+02
0.8000000000E+00  0.9620323519E+00  0.4022865894E+02  0.4359855205E+02
0.7900000000E+00  0.9650177867E+00  0.4014894459E+02  0.4352175192E+02
0.7800000000E+00  0.9678995970E+00  0.4009810233E+02  0.4347262132E+02
0.7700000000E+00  0.9706834363E+00  0.4007485490E+02  0.4345009387E+02
0.7600000000E+00  0.9733744593E+00  0.4007811633E+02  0.4345326993E+02
0.7500000000E+00  0.9759773799E+00  0.4010696982E+02  0.4348139841E+02
0.7400000000E+00  0.9784965212E+00  0.4016064947E+02  0.4353386164E+02
0.7300000000E+00  0.9809358579E+00  0.4023852511E+02  0.4361016304E+02
0.7200000000E+00  0.9832990538E+00  0.4034008979E+02  0.4370991674E+02
0.7100000000E+00  0.9855894937E+00  0.4046494946E+02  0.4383283928E+02
0.7000000000E+00  0.9878103112E+00  0.4061281443E+02  0.4397874271E+02
0.6900000000E+00  0.9899644134E+00  0.4078349252E+02  0.4414752912E+02
0.6800000000E+00  0.9920545025E+00  0.4097688348E+02  0.4433918636E+02
0.6600000000E+00  0.9960525364E+00  0.4143183794E+02  0.4479147476E+02
0.6500000000E+00  0.9979650204E+00  0.4169362694E+02  0.4505248558E+02
0.6400000000E+00  0.9998225980E+00  0.4197857609E+02  0.4533712441E+02
0.6300000000E+00  0.1001627191E+01  0.4228699976E+02  0.4564577654E+02
0.6200000000E+00  0.1003380603E+01  0.4261929247E+02  0.4597890620E+02
0.6100000000E+00  0.1067503142E+01  0.1794893768E+05  0.1916428629E+05
0.6000000000E+00  0.1006740558E+01  0.4335747006E+02  0.4672085907E+02
0.5900000000E+00  0.1008350194E+01  0.4376455660E+02  0.4713102226E+02
0.5800000000E+00  0.1009914851E+01  0.4419792104E+02  0.4756834948E+02
0.5700000000E+00  0.1011435862E+01  0.4465838712E+02  0.4803373634E+02
0.5600000000E+00  0.1012914489E+01  0.4514687549E+02  0.4852817736E+02
