0.0000000000E+00  0.8603768679E+00  0.1000000000E+01  0.0000000000E+00  0.0000000000E+00
0.3120541865E-01  0.8603768679E+00  0.9998960730E+00  -.6661917544E-02  0.8180886904E-03
0.6241083731E-01  0.8603768679E+00  0.9995840883E+00  -.1333688972E-01  0.3270835614E-02
0.9361625596E-01  0.8603768679E+00  0.9990634357E+00  -.2003789750E-01  0.7353701839E-02
0.1248216746E+00  0.8603768679E+00  0.9983331020E+00  -.2677777370E-01  0.1305918427E-01
0.1560270933E+00  0.8603768679E+00  0.9973916769E+00  -.3356912698E-01  0.2037690869E-01
0.1872325119E+00  0.8603768679E+00  0.9962373611E+00  -.4042426361E-01  0.2929376062E-01
0.2184379306E+00  0.8603768679E+00  0.9948679771E+00  -.4735510620E-01  0.3979405448E-01
0.2496433492E+00  0.8603768679E+00  0.9932809824E+00  -.5437310897E-01  0.5185974144E-01
0.2808487679E+00  0.8603768679E+00  0.9914734856E+00  -.6148916896E-01  0.6547065595E-01
0.3120541865E+00  0.8603768679E+00  0.9894422651E+00  -.6871353277E-01  0.8060480084E-01
0.3432596052E+00  0.8603768679E+00  0.9871837909E+00  -.7605569867E-01  0.9723866960E-01
0.3744650238E+00  0.8603768679E+00  0.9846942496E+00  -.8352431396E-01  0.1153476043E+00
0.4056704425E+00  0.8603768679E+00  0.9819695728E+00  -.9112706762E-01  0.1349061853E+00
0.4368758612E+00  0.8603768679E+00  0.9790054685E+00  -.9887057867E-01  0.1558886489E+00
0.4680812798E+00  0.8603768679E+00  0.9757974561E+00  -.1067602807E+00  0.1782693253E+00
0.4992866985E+00  0.8603768679E+00  0.9723409059E+00  -.1148003036E+00  0.2020230892E+00
0.5304921171E+00  0.8603768679E+00  0.9686310808E+00  -.1229933530E+00  0.2271258113E+00
0.5616975358E+00  0.8603768679E+00  0.9646631833E+00  -.1313405896E+00  0.2535547985E+00
0.5929029544E+00  0.8603768679E+00  0.9604324054E+00  -.1398415096E+00  0.2812892049E+00
